Ten,Dia chi,Loai,Lat,Lng,Tu khoa goc
Văn Phòng Công Chứng Lấp Vò,"210 Đ. 3 Tháng 2, Phường 12, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Công chứng viên,10.774272199999999,106.6780562,Phòng công chứng Quận 3
UBND Phường Xóm Chiếu,"18 Đoàn Như Hài, Phường 13, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",Văn phòng chính quyền quận,10.7663304,106.7051269,Ủy ban nhân dân Quận 4
UBND Phường 1 Quận 4,"360 Bến Vân Đồn, Phường 1, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",Văn phòng chính quyền địa phương,10.7548731,106.6894445,Ủy ban nhân dân Quận 4
UBND Phường 3 Quận 4,"89 Khánh Hội, Phường 3, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",Văn phòng chính quyền địa phương,10.7550762,106.70171529999999,Ủy ban nhân dân Quận 4
Trung Tâm Y Tế Quận 4,"217 Khánh Hội, Phường 2, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",Dịch vụ y tế địa phương,10.758324199999999,106.6992894,Trung tâm y tế Quận 4
Trung Tâm Y Tế Quận 4,"2 Đ. Lê Quốc Hưng, Phường 12, Quận 4, Thành phố Hồ Chí Minh 70000, Việt Nam",Bệnh viện,10.7653885,106.702652,Trung tâm y tế Quận 4
Trạm Y Tế phường 9 Quận 4,"51 Đ. Vĩnh Khánh, Phường 9, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",Dịch vụ y tế địa phương,10.7632355,106.70230749999999,Trung tâm y tế Quận 4
Trạm Y Tế Phường 4 Quận 4,"183 Tôn Thất Thuyết, Phường 4, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",Trung tâm y tế,10.753298,106.70354309999999,Trung tâm y tế Quận 4
Phòng Y Tế Quận 4,"22 Đ. Nguyễn Tất Thành, Phường 12, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",Dịch vụ y tế địa phương,10.766574,106.706406,Trung tâm y tế Quận 4
Trạm Y Tế Phường 5 Quận 4,"226 Bến Vân Đồn, Phường 2, Quận 4, Thành phố Hồ Chí Minh 700000, Việt Nam",Trung tâm y tế,10.7602931,106.69654009999999,Trung tâm y tế Quận 4
Trạm Y Tế Phường 1 Quận 4,"1 Nguyễn Khoái, Phường 3, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",Dịch vụ y tế địa phương,10.7574483,106.6929693,Trung tâm y tế Quận 4
